transaction_id,product_id,product_name,product_qty,product_total_price
295,96,Camembert de Normandie (AOC),1,$13.00
296,82,Colston Bassett Stilton,2,$90.00
297,0,Dried Apricots,1,$8.00
297,0,Grapes,1,$6.00
297,0,Attendance for 3 hrs to man cheese station,1,$100.00
297,86,Cornish Yarg,1,$60.00
297,100,St Maure de Touraine,2,$50.00
297,113,Chive Crackers,4,$20.00
297,146,Old Yorkshire Chutney with Real Ale,1,$8.00
297,160,Perl Las,1,$27.50
297,185,Manchego,1,$60.00
297,188,King Cut Gruyere,1,$25.00
297,195,Fearn Abbey,2,$42.50
297,215,Stichelton,1,$70.00
300,195,Fearn Abbey,3,$52.50
301,83,Colston Basset Shropshire,1,$17.50
301,85,Reypenaer V.S.O.P. Gouda,1,$25.00
301,96,Camembert de Normandie (AOC),1,$18.00
302,127,Mondovino Black Olive Crackers,1,$7.00
304,90,Brie de Meaux AOC,2,$16.00
304,95,Gorgonzola Dolce,1,$17.50
304,123,Fig and Fennel Paste,1,$9.00
304,174,Cartwright and Butler Cheese Wafers,1,$6.00
305,90,Brie de Meaux AOC,6,$66.00
306,90,Brie de Meaux AOC,1,$8.00
306,96,Camembert de Normandie (AOC),1,$18.00
306,211,Soumaintrain Berthaut,1,$30.00
307,96,Camembert de Normandie (AOC),1,$18.00
307,160,Perl Las,1,$18.00
308,96,Camembert de Normandie (AOC),1,$18.00
308,160,Perl Las,1,$18.00
310,98,Comté Marcel Petite,1,$18.00
310,99,Parmesan Reggiano (30 months),1,$35.00
310,215,Stichelton,1,$22.00
312,0,Quince Paste 200g,3,$21.00
312,0,Clotted Cream,10,$50.00
313,100,St Maure de Touraine,1,$20.00
313,182,Epoisses AOC (prepacked truckle 250g),2,$54.00
313,186,Brillat Savarin - cutting cheese,1,$20.00
314,111,Fig Fruit Purée for Cheese,1,$12.00
314,174,Cartwright and Butler Cheese Wafers,2,$12.00
314,212,Royal Family,1,$65.00
315,208,Montgomery's Cheddar,2,$40.00
315,215,Stichelton,1,$44.00
316,90,Brie de Meaux AOC,1,$16.00
316,94,Morbier,1,$15.00
316,180,Grana Padano,1,$18.75
318,94,Morbier,1,$15.00
318,97,Von Mühlenen Premier Cru Gruyère,1,$20.00
318,98,Comté Marcel Petite,1,$18.00
318,104,Olive Oil and Sea Salt Crackers,1,$7.00
